,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,popularity,duration,track_id,artists,album_name,track_name,explicit,time_signature,track_genre
0,0.615,0.736,-7.635,0.0604,0.0155,0.724,0.0978,0.0772,139.999,25,398,3OmhzPRlGZIFrNlGWPU6jS,Berg;Skazi,Aurora,Power of God,False,4,trance
1,0.482,0.706,-5.762,0.0607,0.135,0.00106,0.105,0.144,92.513,77,225,4esOae7i4rqTbAu9o5Pxco,Alicia Keys,Girl on Fire (Remixes) - EP,Girl on Fire,False,4,soul
2,0.795,0.595,-8.073,0.0698,0.0823,0.0,0.128,0.502,91.025,54,196,3PUIguYpwKFXmfGD6uU7Jl,Tove Lo,Sunshine Kitty,Glad He's Gone,True,4,swedish
3,0.795,0.595,-8.073,0.0698,0.0823,0.0,0.128,0.502,91.025,54,196,3PUIguYpwKFXmfGD6uU7Jl,Tove Lo,Sunshine Kitty,Glad He's Gone,True,4,synth-pop
4,0.631,0.489,-6.966,0.101,0.58,0.821,0.12,0.418,203.953,55,117,37Unx14mB8QnCx0bDjtCM8,Ichika Nito,i miss you,i miss you,False,4,guitar
5,0.631,0.489,-6.966,0.101,0.58,0.821,0.12,0.418,203.953,55,117,37Unx14mB8QnCx0bDjtCM8,Ichika Nito,i miss you,i miss you,False,4,j-rock
6,0.419,0.972,-3.895,0.0838,1.31e-05,0.00844,0.329,0.19,92.487,32,215,7gwQkDTU5Kzo1vNAcyuQlj,From Alaska,Norte,Fantasmas,False,4,hardcore
7,0.884,0.697,-6.07,0.338,0.637,0.0,0.143,0.555,130.075,50,164,5b9MS3By7f4PWJnCH1Aseh,Major RD;Rock Danger;Raffé;El Lif Beatz,Troféu,Carro Bicho 2,True,4,brazil
8,0.203,0.853,-8.874,0.0793,0.0,0.819,0.0483,0.17,115.769,11,90,6D758KNG2dSZ7Pf1eqSXKm,Triac,Always Meant to Hurt You,Grab Everything That Kills,False,4,grindcore
9,0.623,0.727,-6.528,0.0567,0.131,0.00121,0.104,0.345,136.105,39,215,7wPOMpOTxqaf2eVefEQU5U,Yedinci Ev,İçine Düştüm,Gitmeden Önce,False,4,turkish
10,0.788,0.897,-5.056,0.0502,0.102,0.00231,0.0739,0.967,94.985,37,193,15WIt660rRzkOZxD6w5h8T,Panteon Rococo,Panteón Rococó,No Me Vayas a Dejar,False,4,ska
11,0.389,0.241,-13.804,0.0403,0.9,0.0,0.188,0.252,105.545,23,145,5RiwytnIjXpmur5Ypry5VJ,Oliver Wallace;Peggy Lee,Disney Classics,"What a Dog/He's a Tramp - From ""Lady and the Tramp""",False,4,disney
12,0.551,0.722,-5.338,0.0446,0.0038,0.00115,0.0887,0.43,113.934,41,179,01jvihEe0ksag2uudul1gs,Tove Lo;Seeb,Moments (The Remixes),Moments - Seeb Remix,False,4,synth-pop
13,0.597,0.909,-4.5,0.16,0.0443,0.0,0.374,0.564,146.87,62,210,2GEnvQgSJhedm2sqZlOP8o,BTS,Proof,N.O,False,4,k-pop
14,0.399,0.729,-6.54,0.0383,6.43e-05,0.000156,0.117,0.484,98.779,24,189,2X3rwYURTDExE4yDjPtTsU,The Amity Affliction,Glory Days,Dong Wayne,True,4,metalcore
15,0.573,0.978,-1.009,0.0883,0.000685,0.0621,0.169,0.0816,149.978,57,222,30MdAjBfVTvBCS3vID38At,Ray Volpe,Laserbeam,Laserbeam,False,4,dub
16,0.573,0.978,-1.009,0.0883,0.000685,0.0621,0.169,0.0816,149.978,57,222,30MdAjBfVTvBCS3vID38At,Ray Volpe,Laserbeam,Laserbeam,False,4,dubstep
17,0.573,0.978,-1.009,0.0883,0.000685,0.0621,0.169,0.0816,149.978,57,222,30MdAjBfVTvBCS3vID38At,Ray Volpe,Laserbeam,Laserbeam,False,4,electronic
18,0.496,0.981,-3.268,0.108,9.33e-06,0.0,0.0958,0.163,109.905,67,260,3UULkHdmLDqBDPmBYltoRE,Alter Bridge,One Day Remains,Metalingus,False,4,alt-rock
19,0.496,0.981,-3.268,0.108,9.33e-06,0.0,0.0958,0.163,109.905,67,260,3UULkHdmLDqBDPmBYltoRE,Alter Bridge,One Day Remains,Metalingus,False,4,alternative
20,0.496,0.981,-3.268,0.108,9.33e-06,0.0,0.0958,0.163,109.905,67,260,3UULkHdmLDqBDPmBYltoRE,Alter Bridge,One Day Remains,Metalingus,False,4,grunge
21,0.496,0.981,-3.268,0.108,9.33e-06,0.0,0.0958,0.163,109.905,67,260,3UULkHdmLDqBDPmBYltoRE,Alter Bridge,One Day Remains,Metalingus,False,4,metal
22,0.437,0.607,-5.704,0.0428,0.332,0.0,0.142,0.275,176.025,36,296,7kCgycosmwcfZJmbXRseEa,Culture Code;Elle Vee,Make A Promise (feat. Elle Vee),Make A Promise (feat. Elle Vee),False,4,dub
23,0.437,0.607,-5.704,0.0428,0.332,0.0,0.142,0.275,176.025,36,296,7kCgycosmwcfZJmbXRseEa,Culture Code;Elle Vee,Make A Promise (feat. Elle Vee),Make A Promise (feat. Elle Vee),False,4,dubstep
24,0.804,0.594,-6.87,0.0932,0.258,7.11e-06,0.163,0.829,154.944,31,350,3gfAE4VFqH3VC9J5JO9YIH,Raspigaous,Haut & fort,7 milliards et des poussières,False,4,french
