,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,id,duration,time_signature
0,0.336,0.627,-7.463,0.0384,0.164,0.0,0.0708,0.35,0bYg9bo50gSsH3LtXe2SQn,241,4
1,0.714,0.472,-7.375,0.0864,0.013,4.51e-06,0.266,0.238,3nqQXoyQOWXiESFLlDF1hG,157,4
2,0.715,0.62,-6.005,0.0484,0.417,0.0,0.0822,0.172,2dHHgzDwk4BJdRwy9uXhTO,222,4
3,0.735,0.478,-12.472,0.0293,0.189,2.48e-06,0.355,0.947,2FRnf9qhLbvw8fu4IBXx78,263,4
4,0.52,0.731,-5.338,0.0557,0.342,0.00101,0.311,0.662,4Dvkj6JhhA12EX05fT7y2e,167,4
5,0.637,0.643,-6.571,0.0519,0.13,1.8e-06,0.142,0.533,0V3wPSX9ygBnCm8psDIegu,201,4
6,0.589,0.472,-8.749,0.0502,0.614,0.0,0.505,0.898,2EjXfH91m7f8HiJN1yQg97,126,4
7,0.835,0.679,-5.329,0.0364,0.583,1.98e-06,0.218,0.85,5ww2BF9slyYgNOk37BlC4u,163,4
8,0.887,0.234,-14.52,0.178,0.111,0.67,0.13,0.197,2mnXxnrX5vCGolNkaFvVeM,197,4
9,0.561,0.965,-3.673,0.0343,0.00383,7.07e-06,0.371,0.304,4uUG5RXrOk84mYEfFvj3cK,175,4
10,0.621,0.782,-5.548,0.044,0.0125,0.033,0.23,0.55,2tTmW7RDtMQtBk7m2rYeSw,199,4
11,0.754,0.424,-8.463,0.0363,0.643,0.0,0.0652,0.806,7vQbuQcyTflfCIOu3Uzzya,131,4
12,0.561,0.52,-9.342,0.244,0.0503,1.86e-06,0.355,0.424,1bDbXMyjaUIooNwFE9wn0N,239,3
13,0.339,0.214,-11.714,0.0375,0.908,7.47e-06,0.341,0.363,0lLdorYw7lVrJydTINhWdI,207,3
14,0.526,0.606,-5.3,0.259,0.152,2.36e-06,0.194,0.492,0vjeOZ3Ft5jvAi9SBFJm1j,183,4
15,0.911,0.712,-5.105,0.0817,0.0901,2.68e-05,0.0933,0.425,6Sq7ltF9Qa7SNFBsV5Cogx,179,4
16,0.525,0.621,-7.364,0.116,0.0489,0.0,0.294,0.591,0lizgQ7Qw35od7CYaoMBZb,204,4
17,0.65,0.715,-5.198,0.253,0.0993,0.000291,0.126,0.187,1IHWl5LamUGEuP4ozKQSXZ,244,4
18,0.838,0.525,-3.562,0.0665,0.345,1.92e-06,0.0771,0.884,0QHEIqNKsMoOY5urbzN48u,134,4
19,0.733,0.69,-5.529,0.0427,0.0635,1.18e-06,0.105,0.31,5IgjP7X4th6nMNDh4akUHb,185,4
20,0.442,0.538,-8.55,0.0451,0.717,2.95e-05,0.09,0.139,7jtQIBanIiJOMS6RyCx6jZ,244,4
21,0.901,0.589,-6.713,0.289,0.00302,0.000237,0.0992,0.399,1zsPaEkglFvxjAhrM8yhpr,197,4
22,0.234,0.526,-11.656,0.0411,0.871,2.34e-06,0.122,0.649,1IcR6RlgvDczfvoWJSSY2A,151,3
