,track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre
64887,7qSkQJ5yeqXdJZjvVBf45e,Mel Tormé,Holidays Are Coming,"The Christmas Song - Live At The Crescendo Club, Hollywood, CA / December 15, 1954",0,185266,False,0.413,0.0417,-19.916,0.035,0.948,0.0,0.12,0.225,100.098,1,jazz
16195,0G8hno6jivjQvhaoJfR5qK,Pyotr Ilyich Tchaikovsky;Berliner Philharmoniker;Mstislav Rostropovich,Weihnachten Klassik 2022,"The Nutcracker (Suite), Op. 71a, TH. 35: IIf. Dance of the Reed-Pipes (Mirlitons)",0,155000,False,0.45,0.0485,-31.079,0.038,0.972,0.911,0.172,0.316,126.978,4,classical
16087,1gHJ8Y9xdcOPfg5tyBIL40,Johann Sebastian Bach;Lang Lang,Weihnachten Klassik 2022,"Christmas Oratorio, BWV 248: X. Sinfonia (Arr. Anna Saradjian)",0,157400,False,0.499,0.059,-20.969,0.0546,0.995,0.89,0.0889,0.171,82.472,4,classical
64259,3wVPBznr1LFn4VCQUkoT5v,Nat King Cole,Rockin' Around The Christmas Tree 2022,The Christmas Song (Merry Christmas To You),0,192373,False,0.525,0.0623,-16.836,0.05,0.994,0.157,0.106,0.17,91.205,3,jazz
62085,68oZTWrQDccWDf4y9UpBXk,Norah Jones,Slow Christmas Songs 2022,It's Not Christmas 'Til You Come Home - Recorded At Spotify Studios NYC,0,192420,False,0.473,0.068,-20.033,0.0315,0.892,0.00216,0.105,0.262,93.777,3,j-pop
64049,01yZpKoKFXSzX2vQNYgvgy,Norah Jones,Alternative Christmas 2022,It's Not Christmas 'Til You Come Home - Recorded At Spotify Studios NYC,0,192420,False,0.473,0.068,-20.033,0.0315,0.892,0.00216,0.105,0.262,93.777,3,jazz
103316,5LTYshvqiHa2jRrbVAM5cc,Aloe Blacc,Weihnachtspop 2022,The Christmas Song,0,196853,False,0.57,0.0696,-13.124,0.0504,0.888,0.0,0.11,0.182,139.348,4,soul
62197,4hC2YJ7vTBMwr2qIIaEvMF,Gregory Porter,Christmas Day Chill,The Christmas Song,0,224906,False,0.321,0.09,-21.296,0.0321,0.838,0.00266,0.0998,0.157,65.825,4,j-pop
64536,5JhfwQbFvnlST21evT6Qle,Gregory Porter,Calm Christmas,The Christmas Song,0,224906,False,0.321,0.09,-21.296,0.0321,0.838,0.00266,0.0998,0.157,65.825,4,jazz
64940,4PSjU3BTM5T7nNkDBxoCTs,Sammy Davis Jr.,Perfect Christmas Hits,The Christmas Song (Chestnuts Roasting on an Open Fire),0,205066,False,0.297,0.0915,-20.631,0.0325,0.94,6.85e-06,0.32,0.201,82.484,1,jazz
64739,1goBH4a2czNV7PTlswLWfN,Vince Guaraldi Trio,Christmas Faves 2022,Christmas Time Is Here - Instrumental,0,366213,False,0.418,0.116,-18.397,0.0331,0.966,0.648,0.138,0.0861,74.923,3,jazz
106522,5mBjW3zupYQm5MbjzxXM3I,Carola,JULPYNTA,Vintersång,0,232226,False,0.226,0.12,-15.102,0.0388,0.973,0.0003,0.0885,0.13,78.39,4,swedish
19533,7ea2evBOZWG4277pXVuBhS,Ingrid Andress,Perfect Christmas Hits,Christmas Always Finds Me,0,200662,False,0.386,0.124,-9.736,0.0306,0.928,0.0,0.116,0.46,94.166,3,country
64744,6P94tFXxkdwPevLUI64aIM,Vince Guaraldi Trio,Xmas Classics 2022,Christmas Time Is Here - Vocal,0,166440,False,0.375,0.139,-19.789,0.0324,0.977,8.61e-06,0.0984,0.0878,75.993,3,jazz
95,15BFn2VmEtonsXfNL1lUmy,The Civil Wars,Chill Christmas Dinner,I Heard The Bells On Christmas Day,0,154440,False,0.492,0.145,-14.504,0.0422,0.872,9.68e-06,0.107,0.218,90.078,4,acoustic
34794,1uDCw6LVMOmbZ6zRliNcNX,The Civil Wars,Christmas Country Songs 2022,I Heard The Bells On Christmas Day,0,154440,False,0.492,0.145,-14.504,0.0422,0.872,9.68e-06,0.107,0.218,90.078,4,folk
64797,4VtRHHg0EOISSxDZzx2WCJ,Nat King Cole Trio,Home At Christmas,All I Want For Christmas (Is My Two Front Teeth),0,151333,False,0.771,0.158,-10.374,0.0621,0.895,0.0,0.144,0.504,130.072,4,jazz
106032,0ECr8qukqLKU14g3eRNX54,ABBA,Holidays Are Coming,Little Things,0,188320,False,0.647,0.165,-16.328,0.0315,0.894,0.00187,0.116,0.59,75.978,4,swedish
106021,3WGUmg9EePIgNlJvyAzPva,ABBA,World's Best Christmas Playlist,Little Things,0,188320,False,0.647,0.165,-16.328,0.0315,0.894,0.00187,0.116,0.59,75.978,4,swedish
64612,7B9Tz3NNVRSQBrrWmzkwVN,Peggy Lee,Slow Christmas Songs 2022,The Christmas Waltz,0,173106,False,0.25,0.168,-16.789,0.0329,0.822,0.000135,0.136,0.141,107.269,3,jazz
103825,1GZj9r3vJ91roOZ0oYJrW5,Peggy Lee,Weihnachtssongs,The Christmas Waltz,0,173106,False,0.25,0.168,-16.789,0.0329,0.822,0.000135,0.136,0.141,107.269,3,soul
19504,52f5RgyEM4cfaPMeh1VbWo,Ingrid Andress,New Country Hits,Blue,0,201541,False,0.488,0.175,-9.5,0.0491,0.952,1.01e-06,0.105,0.201,117.291,4,country
81832,4nFXgBdbnvwxaSHKFLimML,Sam Smith,JULMYS,Have Yourself A Merry Little Christmas,0,170964,False,0.438,0.178,-9.402,0.0414,0.957,1.1e-06,0.316,0.344,75.25,1,pop
81843,2bygWMs35RbVPihSUVr0lA,Sam Smith,Christmas Best Hits 2022,Have Yourself A Merry Little Christmas,0,170964,False,0.438,0.178,-9.402,0.0414,0.957,1.1e-06,0.316,0.344,75.25,1,pop
87295,3SqWXTR40ETna3e4EHYTHq,The Drifters,Christmas Music - Holiday Hits,White Christmas,0,158533,False,0.578,0.182,-10.424,0.0444,0.825,5e-06,0.144,0.477,127.363,4,r-n-b
